restaurant,item,protein,calories,total_fat,sodium,cholesterol
Mcdonalds,Artisan Grilled Chicken Sandwich,37.0,380,7,1110,95
Mcdonalds,Single Bacon Smokehouse Burger,46.0,840,45,1580,130
Mcdonalds,Double Bacon Smokehouse Burger,70.0,1130,67,1920,220
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,55.0,750,31,1940,155
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,46.0,920,45,1980,120
Mcdonalds,Big Mac,25.0,540,28,950,80
Mcdonalds,Cheeseburger,15.0,300,12,680,40
Mcdonalds,Classic Chicken Sandwich,25.0,510,24,1040,65
Mcdonalds,Double Cheeseburger,25.0,430,21,1040,85
Mcdonalds,Double Quarter Pounder® with Cheese,51.0,770,45,1290,175
Mcdonalds,Filet-O-Fish®,15.0,380,18,640,40
Mcdonalds,Garlic White Cheddar Burger,32.0,620,34,790,95
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,42.0,530,20,1150,125
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,33.0,700,34,1190,85
Mcdonalds,Hamburger,13.0,250,8,480,30
Mcdonalds,Lobster Roll,24.0,290,5,630,65
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,37.0,640,36,1260,110
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,48.0,580,21,1890,135
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,39.0,740,35,1780,95
Mcdonalds,McChicken,15.0,350,15,600,40
Mcdonalds,McDouble,23.0,380,18,840,70
Mcdonalds,McRib,25.0,480,22,870,80
Mcdonalds,Pico Guacamole 1/4 lb Burger,29.0,580,33,920,95
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,40.0,520,18,1540,115
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,31.0,680,32,1430,80
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,28.0,570,23,1050,60
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,25.0,530,22,1000,45
Mcdonalds,Quarter Pounder® with Cheese,31.0,530,27,1090,100
Mcdonalds,Signature Sriracha Burger,32.0,670,35,1010,95
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,41.0,560,20,1550,115
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,32.0,730,33,1430,80
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,38.0,690,37,1310,110
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,48.0,630,22,1930,135
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,39.0,800,36,1820,95
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,28.0,370,21,910,70
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,38.0,480,28,1290,95
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,58.0,760,44,1890,145
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,94.0,1210,70,3230,240
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,115.0,1510,88,3770,295
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,186.0,2430,141,6080,475
Mcdonalds,4 Piece Chicken McNuggets,10.0,180,11,340,30
Mcdonalds,6 Piece Chicken McNuggets,15.0,270,16,510,45
